,suhu udara,kelembaban udara,suhu tanah,kelembaban tanah,cahaya,arus solar,arus aki,tegangan solar,tegangan aki,status
86,29.47,64,36.35,191,16322,0.231,0.201,105.84,105.57,mendung siram
87,28.53,66,39.29,188,14785,0.226,0.172,106.25,95.89,mendung siram
88,29.09,61,34.55,195,16416,0.243,0.128,105.29,96.29,mendung siram
89,28.62,69,37.85,193,15589,0.239,0.151,104.36,101.64,mendung siram
90,28.57,63,36.08,193,15331,0.228,0.164,103.5,100.98,mendung siram
91,28.27,61,32.61,187,16197,0.233,0.192,106.16,100.25,mendung siram
92,28.82,63,37.99,192,16234,0.233,0.208,103.02,95.05,mendung siram
93,28.82,60,38.36,193,16044,0.233,0.197,104.67,103.96,mendung siram
94,29.47,63,38.56,191,15077,0.234,0.204,107.43,94.79,mendung siram
95,28.37,64,35.97,193,15927,0.238,0.198,105.01,96.0,mendung siram
96,29.26,60,36.26,189,16437,0.236,0.198,104.78,99.54,mendung siram
97,28.22,64,32.51,189,15244,0.225,0.178,104.35,94.1,mendung siram
98,28.39,61,31.64,192,14270,0.24,0.187,107.23,102.42,mendung siram
99,28.6,60,34.02,190,15313,0.239,0.189,103.75,99.43,mendung siram
100,29.23,62,35.46,185,16582,0.241,0.144,103.92,97.13,mendung siram
101,28.47,67,38.66,191,15324,0.24,0.203,106.67,98.36,mendung siram
102,28.85,63,38.51,194,16737,0.228,0.169,103.8,98.15,mendung siram
103,28.28,69,33.73,195,15468,0.233,0.204,107.87,104.83,mendung siram
104,28.04,70,33.93,192,16466,0.238,0.143,107.47,100.48,mendung siram
105,28.21,67,33.47,195,14849,0.228,0.174,107.81,105.68,mendung siram
106,28.43,68,32.73,185,16477,0.237,0.196,107.47,105.93,mendung siram
107,29.27,70,33.84,192,15654,0.23,0.152,107.79,103.16,mendung siram
108,29.03,64,33.92,189,15427,0.242,0.156,105.41,102.82,mendung siram
109,28.03,70,32.09,191,16003,0.237,0.159,104.57,101.38,mendung siram
110,29.03,67,35.2,186,14848,0.238,0.191,103.63,105.1,mendung siram
111,29.28,70,37.24,195,16387,0.233,0.183,103.75,103.9,mendung siram
112,29.12,63,38.75,192,14777,0.243,0.129,104.38,102.65,mendung siram
113,28.82,61,36.49,188,15302,0.231,0.162,104.33,102.71,mendung siram
114,28.59,69,36.47,191,14206,0.239,0.137,103.54,107.9,mendung siram
115,28.61,70,38.1,188,16187,0.228,0.19,103.67,104.46,mendung siram
116,28.99,63,32.68,195,14021,0.228,0.136,104.96,98.1,mendung siram
117,29.42,66,33.9,186,14713,0.226,0.165,103.69,103.03,mendung siram
118,28.42,60,31.42,192,15788,0.228,0.13,106.73,100.89,mendung siram
119,29.31,62,39.06,192,15326,0.239,0.138,105.74,98.95,mendung siram
120,28.42,66,36.9,192,14138,0.225,0.135,106.39,103.31,mendung siram
121,29.19,69,31.84,195,14262,0.225,0.178,107.7,103.87,mendung siram
122,28.06,63,37.94,189,16018,0.234,0.159,105.06,94.27,mendung siram
123,28.09,70,35.2,189,14724,0.232,0.129,105.35,94.9,mendung siram
124,28.1,69,33.8,185,15997,0.237,0.207,103.94,105.13,mendung siram
125,28.14,62,33.59,193,14756,0.239,0.171,104.55,98.26,mendung siram
126,28.02,64,35.64,187,14892,0.232,0.145,103.19,99.06,mendung siram
127,28.5,69,31.41,188,14760,0.23,0.178,104.18,103.66,mendung siram
128,28.49,68,32.87,189,14519,0.227,0.204,104.25,100.91,mendung siram
129,28.55,60,31.83,188,15972,0.236,0.137,103.25,101.83,mendung siram
130,28.03,62,33.19,192,15319,0.226,0.173,104.65,102.92,mendung siram
131,29.24,65,32.53,189,16615,0.238,0.128,105.52,93.85,mendung siram
132,29.21,64,31.8,187,14189,0.235,0.138,103.55,94.69,mendung siram
133,28.92,65,32.06,191,14669,0.225,0.146,104.61,101.2,mendung siram
134,28.62,60,31.82,193,16465,0.237,0.144,107.56,96.61,mendung siram
135,29.44,60,32.0,186,16513,0.235,0.167,107.43,101.0,mendung siram
136,28.33,60,31.43,189,15230,0.225,0.143,104.05,101.13,mendung siram
137,28.38,66,32.8,193,15890,0.227,0.178,105.95,96.69,mendung siram
138,29.11,67,36.06,193,16745,0.241,0.177,106.4,107.85,mendung siram
139,29.46,63,34.93,186,14878,0.234,0.208,105.82,98.11,mendung siram
140,28.4,65,32.0,187,15109,0.238,0.188,104.13,99.72,mendung siram
141,28.72,67,33.89,188,15315,0.233,0.158,107.23,104.49,mendung siram
142,29.31,62,34.41,186,14773,0.231,0.171,104.38,94.75,mendung siram
143,29.19,65,37.59,189,15772,0.237,0.143,104.49,99.93,mendung siram
144,28.2,64,38.86,193,14634,0.225,0.199,105.9,101.74,mendung siram
145,28.8,68,35.51,195,16323,0.241,0.163,107.7,106.58,mendung siram
146,29.27,66,36.78,194,15583,0.231,0.207,103.12,95.95,mendung siram
147,28.37,63,39.06,194,16317,0.234,0.165,106.53,98.03,mendung siram
148,29.17,60,31.19,188,14269,0.236,0.209,106.82,105.86,mendung siram
149,29.27,67,32.26,195,16630,0.237,0.143,107.36,100.69,mendung siram
150,28.87,66,38.06,185,16741,0.234,0.165,106.44,103.96,mendung siram
151,28.84,60,36.62,185,16471,0.239,0.13,107.37,103.62,mendung siram
152,29.49,62,33.72,185,16406,0.239,0.149,104.27,96.25,mendung siram
153,29.22,70,35.54,189,14774,0.231,0.152,104.18,94.94,mendung siram
154,28.72,67,32.86,191,14579,0.24,0.157,105.08,103.78,mendung siram
155,29.26,63,37.47,195,15583,0.243,0.185,105.73,94.92,mendung siram
156,28.57,68,36.72,195,14239,0.233,0.196,103.16,103.41,mendung siram
157,29.43,69,39.24,185,15234,0.234,0.18,106.53,94.45,mendung siram
158,28.52,70,38.99,195,16339,0.242,0.182,106.1,105.27,mendung siram
159,29.13,61,33.34,186,14864,0.236,0.197,104.66,99.52,mendung siram
160,29.36,67,32.73,191,15516,0.242,0.203,107.57,106.05,mendung siram
161,28.72,60,36.29,186,15540,0.232,0.136,107.21,104.85,mendung siram
162,28.16,67,33.06,190,15628,0.232,0.169,106.58,100.52,mendung siram
163,29.24,66,34.91,189,15017,0.238,0.206,106.81,105.23,mendung siram
164,29.26,62,37.3,189,15325,0.228,0.145,104.03,95.56,mendung siram
165,28.58,68,36.43,190,15668,0.239,0.207,103.91,104.24,mendung siram
166,28.3,60,31.59,195,14631,0.239,0.14,105.96,100.35,mendung siram
167,28.01,69,37.11,189,14444,0.229,0.147,105.79,99.04,mendung siram
168,28.63,61,31.15,192,16035,0.233,0.153,107.84,94.13,mendung siram
169,29.23,62,33.35,185,15957,0.227,0.155,105.18,96.03,mendung siram
170,28.41,60,39.1,188,14314,0.231,0.143,107.26,99.78,mendung siram
171,28.52,63,37.55,185,16523,0.236,0.138,103.38,98.14,mendung siram
172,28.65,67,35.74,191,15058,0.226,0.147,106.59,104.46,mendung siram
173,28.08,61,39.29,188,15996,0.24,0.168,102.9,107.22,mendung siram
174,28.35,63,33.34,195,16369,0.237,0.205,105.67,94.49,mendung siram
175,29.13,64,32.45,193,16459,0.239,0.142,107.82,99.17,mendung siram
176,28.95,61,33.18,186,14458,0.226,0.208,103.17,106.99,mendung siram
177,28.44,65,39.16,195,15017,0.231,0.19,106.33,97.91,mendung siram
178,29.32,61,35.15,189,16769,0.241,0.175,103.09,97.84,mendung siram
179,29.24,60,32.53,194,14382,0.236,0.191,104.73,99.71,mendung siram
180,28.14,65,37.14,188,16456,0.228,0.127,107.25,106.55,mendung siram
181,29.41,67,33.94,191,15418,0.238,0.135,106.65,102.44,mendung siram
182,28.77,64,33.33,189,16580,0.243,0.157,103.37,97.68,mendung siram
183,28.21,69,36.97,189,14243,0.234,0.186,103.53,100.65,mendung siram
184,29.5,66,35.71,192,15653,0.232,0.175,105.84,101.98,mendung siram
185,29.21,68,35.87,194,15923,0.241,0.166,106.41,100.2,mendung siram
186,28.77,66,31.07,187,14739,0.24,0.144,103.48,107.16,mendung siram
187,28.62,67,36.05,193,16428,0.226,0.195,106.33,97.59,mendung siram
188,29.29,61,38.22,194,16246,0.238,0.167,106.37,103.63,mendung siram
189,28.85,64,39.4,195,15784,0.229,0.182,103.9,94.9,mendung siram
190,28.04,63,39.03,194,14626,0.227,0.148,102.93,94.91,mendung siram
191,29.25,64,32.36,193,16728,0.228,0.149,104.74,99.78,mendung siram
192,28.85,61,34.06,195,15050,0.232,0.148,105.91,102.43,mendung siram
193,28.6,62,31.88,186,15120,0.236,0.175,107.29,104.34,mendung siram
194,29.12,70,34.81,187,14316,0.227,0.205,103.67,106.43,mendung siram
195,29.37,63,33.23,188,14135,0.239,0.198,103.9,105.95,mendung siram
196,28.25,60,33.08,192,15499,0.24,0.16,105.25,98.85,mendung siram
197,28.61,68,36.17,193,15913,0.232,0.165,103.15,100.89,mendung siram
198,28.51,66,34.73,195,14749,0.227,0.157,106.86,94.11,mendung siram
199,28.49,70,35.67,186,16700,0.241,0.197,106.61,107.16,mendung siram
200,28.58,61,38.15,186,14176,0.229,0.186,105.79,102.82,mendung siram
201,28.8,70,35.89,185,16364,0.228,0.201,106.47,103.8,mendung siram
202,28.47,69,34.05,192,16763,0.23,0.186,107.51,97.55,mendung siram
203,28.68,64,35.84,187,15032,0.241,0.185,105.06,105.55,mendung siram
204,29.04,65,35.59,192,14847,0.225,0.186,106.04,97.65,mendung siram
205,28.37,68,32.48,186,15033,0.238,0.191,103.34,104.39,mendung siram
206,29.45,66,38.4,190,16076,0.236,0.167,106.48,96.34,mendung siram
207,28.09,66,34.29,186,16281,0.24,0.206,106.75,100.67,mendung siram
208,28.97,60,36.17,192,14490,0.232,0.161,103.47,101.99,mendung siram
209,29.47,62,34.28,192,15297,0.242,0.144,103.22,94.39,mendung siram
210,28.24,64,37.1,186,15510,0.227,0.181,103.84,94.1,mendung siram
211,28.15,65,35.89,192,15488,0.228,0.147,106.71,103.14,mendung siram
212,28.36,70,31.68,186,14967,0.242,0.152,107.6,107.65,mendung siram
213,28.91,66,38.58,189,15876,0.226,0.195,102.98,104.84,mendung siram
214,28.89,67,37.01,190,15943,0.24,0.184,105.1,99.52,mendung siram
215,28.2,65,39.28,189,14138,0.24,0.162,107.65,100.13,mendung siram
216,29.3,63,38.91,191,14207,0.227,0.168,106.79,106.24,mendung siram
217,29.02,68,37.66,188,15617,0.227,0.203,103.93,106.8,mendung siram
218,29.42,67,31.8,188,16519,0.234,0.158,104.91,107.25,mendung siram
219,28.47,68,33.88,192,15363,0.241,0.196,105.74,94.57,mendung siram
220,28.18,69,32.74,188,15125,0.242,0.172,107.85,98.5,mendung siram
221,29.07,63,38.54,185,16779,0.225,0.127,105.16,97.2,mendung siram
222,29.15,62,33.3,190,15045,0.24,0.174,106.96,95.96,mendung siram
223,28.95,61,32.42,195,15926,0.243,0.17,105.98,100.36,mendung siram
224,28.36,67,31.33,187,15986,0.234,0.135,106.52,107.07,mendung siram
225,28.31,70,39.41,191,14431,0.228,0.189,103.42,95.6,mendung siram
226,29.47,64,32.86,187,14278,0.227,0.178,105.69,96.33,mendung siram
227,29.31,62,31.91,186,14574,0.239,0.174,106.28,98.39,mendung siram
228,29.34,68,37.29,195,15700,0.234,0.139,104.74,107.71,mendung siram
229,28.85,69,34.07,194,15176,0.233,0.142,107.55,100.41,mendung siram
230,28.72,64,36.66,189,16636,0.225,0.162,105.77,102.14,mendung siram
231,28.82,60,33.45,192,16735,0.233,0.161,107.71,97.02,mendung siram
232,29.27,66,32.17,191,16097,0.233,0.157,104.19,98.51,mendung siram
233,28.38,62,35.77,186,15207,0.233,0.208,103.87,104.54,mendung siram
234,28.7,68,36.77,193,15364,0.233,0.204,107.52,99.88,mendung siram
235,28.13,60,34.87,194,14110,0.238,0.142,106.58,102.8,mendung siram
236,28.36,69,38.76,195,15582,0.226,0.176,103.33,95.15,mendung siram
237,28.74,67,37.49,185,15368,0.242,0.18,104.88,104.76,mendung siram
238,28.56,67,32.47,185,15445,0.243,0.173,107.24,100.85,mendung siram
239,28.81,65,37.52,185,16127,0.237,0.142,107.57,95.42,mendung siram
240,28.1,64,33.15,185,14922,0.23,0.167,103.46,105.7,mendung siram
241,29.41,69,36.72,188,14083,0.237,0.2,105.0,95.2,mendung siram
242,28.69,60,38.63,194,16010,0.236,0.165,104.62,102.78,mendung siram
243,29.21,64,38.57,193,15180,0.243,0.149,107.72,105.47,mendung siram
244,28.69,70,32.61,195,14397,0.229,0.142,107.14,97.67,mendung siram
245,28.02,62,33.64,188,15749,0.233,0.171,103.65,96.58,mendung siram
246,29.28,69,35.22,191,15511,0.237,0.163,104.58,96.77,mendung siram
247,28.67,61,38.53,194,15224,0.234,0.135,103.33,94.35,mendung siram
248,29.09,65,37.72,186,16010,0.229,0.182,104.51,104.33,mendung siram
249,28.11,69,33.33,193,16566,0.24,0.191,105.6,101.43,mendung siram
250,28.79,61,38.94,189,14666,0.243,0.134,104.52,104.67,mendung siram
251,29.32,64,36.36,186,16165,0.232,0.187,103.85,99.31,mendung siram
252,29.38,66,34.91,191,14198,0.228,0.179,107.8,102.45,mendung siram
253,28.61,64,32.88,195,16025,0.238,0.171,103.15,104.18,mendung siram
254,28.7,65,36.31,195,16651,0.228,0.203,104.35,100.19,mendung siram
255,29.13,64,34.86,192,14946,0.233,0.141,106.54,97.33,mendung siram
256,28.77,68,36.43,188,14818,0.238,0.185,104.35,102.74,mendung siram
257,28.78,70,35.88,190,14111,0.235,0.18,104.07,97.24,mendung siram
258,28.81,68,32.45,194,15241,0.235,0.204,104.47,99.64,mendung siram
259,29.4,70,32.49,191,16238,0.234,0.152,103.4,107.24,mendung siram
260,29.31,68,35.37,194,14903,0.238,0.144,106.6,94.27,mendung siram
261,29.32,64,35.93,195,16089,0.239,0.185,107.71,104.53,mendung siram
262,28.05,69,35.21,194,15866,0.226,0.19,104.28,93.9,mendung siram
263,28.3,60,37.16,194,14519,0.239,0.178,103.74,97.28,mendung siram
264,28.16,70,33.7,191,14603,0.238,0.138,106.38,99.32,mendung siram
265,28.32,67,37.18,188,14847,0.238,0.159,106.23,95.7,mendung siram
266,29.01,63,38.77,188,15631,0.243,0.141,107.88,105.0,mendung siram
267,28.08,68,37.07,191,15316,0.235,0.197,107.66,103.81,mendung siram
268,28.09,62,38.32,189,14734,0.236,0.131,105.12,107.67,mendung siram
269,28.61,60,32.9,185,14119,0.233,0.162,104.14,97.8,mendung siram
270,29.27,66,32.04,192,15259,0.236,0.189,106.5,94.74,mendung siram
271,28.45,69,38.03,185,15671,0.239,0.202,106.24,105.44,mendung siram
272,29.13,62,32.68,193,15643,0.237,0.161,106.68,96.09,mendung siram
273,29.0,65,36.0,186,15485,0.233,0.171,105.65,107.03,mendung siram
274,28.61,69,37.77,192,14014,0.243,0.189,105.46,100.26,mendung siram
275,29.5,60,38.01,193,16277,0.226,0.194,103.96,95.18,mendung siram
276,28.25,66,36.15,191,14316,0.23,0.153,106.09,101.27,mendung siram
277,28.89,69,35.97,188,15549,0.234,0.209,104.03,99.68,mendung siram
278,29.15,64,36.16,189,16329,0.233,0.132,105.52,95.49,mendung siram
279,28.73,67,37.18,195,15642,0.231,0.165,104.61,99.22,mendung siram
280,28.16,65,34.21,185,16569,0.238,0.15,104.8,105.62,mendung siram
281,28.29,66,34.24,192,16402,0.238,0.129,107.72,104.02,mendung siram
282,28.97,60,36.25,194,16366,0.24,0.152,103.51,107.8,mendung siram
283,28.64,60,36.23,193,16164,0.232,0.193,107.09,94.65,mendung siram
284,29.35,66,36.99,193,14624,0.235,0.21,103.35,98.52,mendung siram
285,29.46,67,33.07,186,15603,0.238,0.173,106.99,102.57,mendung siram
286,28.96,61,33.83,185,14037,0.24,0.138,107.21,102.06,mendung siram
287,29.27,63,32.16,194,16154,0.228,0.127,104.59,98.25,mendung siram
288,29.5,65,35.1,195,14589,0.243,0.208,107.82,105.84,mendung siram
289,28.69,63,35.45,194,15303,0.226,0.165,107.02,95.26,mendung siram
290,28.44,65,37.93,189,15292,0.241,0.175,107.59,106.6,mendung siram
291,29.16,60,31.1,187,14146,0.236,0.194,102.88,101.69,mendung siram
292,28.47,62,38.63,188,16648,0.225,0.163,102.91,94.4,mendung siram
293,29.27,69,34.3,186,15121,0.235,0.198,105.16,97.04,mendung siram
294,28.63,62,33.76,194,14800,0.225,0.195,106.27,104.81,mendung siram
295,29.35,60,37.09,192,15334,0.237,0.186,105.36,102.43,mendung siram
296,28.61,63,38.51,188,14401,0.233,0.191,103.44,105.3,mendung siram
297,28.77,65,31.88,185,14311,0.227,0.154,104.1,104.14,mendung siram
298,29.03,69,31.57,185,14014,0.241,0.18,104.46,98.68,mendung siram
299,28.84,69,35.23,188,15824,0.243,0.21,103.34,100.22,mendung siram
300,28.31,68,33.17,188,14175,0.232,0.135,106.65,106.91,mendung siram
301,29.28,66,36.66,189,14380,0.235,0.174,103.95,107.39,mendung siram
302,28.89,70,38.72,193,14178,0.242,0.187,106.25,102.7,mendung siram
303,29.01,65,38.26,189,14958,0.24,0.171,107.3,102.68,mendung siram
304,28.35,70,35.22,187,15131,0.232,0.208,107.43,105.01,mendung siram
305,28.93,61,32.26,187,14742,0.233,0.167,104.32,107.72,mendung siram
306,28.82,70,33.41,186,15270,0.229,0.173,107.27,105.92,mendung siram
307,28.1,65,39.24,185,16577,0.241,0.189,107.51,98.06,mendung siram
308,28.87,68,32.2,187,16084,0.232,0.141,103.33,100.97,mendung siram
309,28.32,67,35.68,194,16402,0.232,0.21,106.42,101.76,mendung siram
310,29.45,62,31.89,191,15045,0.238,0.128,105.05,101.68,mendung siram
311,28.3,61,36.33,189,14818,0.227,0.163,107.9,98.95,mendung siram
312,29.36,62,32.45,186,16131,0.239,0.174,107.07,99.32,mendung siram
313,28.27,62,37.46,195,15714,0.242,0.191,104.11,93.88,mendung siram
314,28.61,62,38.46,186,15593,0.242,0.162,103.37,101.23,mendung siram
315,28.1,61,35.44,193,15200,0.242,0.179,105.43,104.29,mendung siram
316,28.31,61,36.55,189,14177,0.24,0.131,104.23,100.79,mendung siram
317,29.39,67,36.11,194,14372,0.233,0.18,105.0,98.96,mendung siram
318,29.11,67,34.51,195,16040,0.235,0.143,105.34,105.23,mendung siram
319,29.39,63,33.04,188,16523,0.23,0.178,103.85,100.39,mendung siram
320,28.32,65,38.74,187,14756,0.23,0.18,107.83,96.45,mendung siram
321,28.1,69,33.75,189,15511,0.243,0.21,103.49,103.19,mendung siram
322,28.59,62,34.76,195,16177,0.239,0.161,107.27,99.29,mendung siram
323,29.1,67,33.08,194,15363,0.243,0.183,106.91,99.98,mendung siram
324,28.96,64,38.44,189,15157,0.231,0.173,105.31,97.06,mendung siram
325,28.77,63,34.72,188,14549,0.234,0.208,103.72,96.85,mendung siram
326,28.98,63,35.12,191,14200,0.225,0.189,105.02,99.81,mendung siram
327,28.08,62,34.45,192,14593,0.231,0.192,104.7,99.55,mendung siram
328,29.27,67,37.24,187,15457,0.227,0.167,107.15,97.16,mendung siram
329,28.28,64,39.22,188,14877,0.24,0.206,104.41,96.12,mendung siram
330,29.24,66,34.46,193,16299,0.236,0.174,103.88,93.84,mendung siram
331,28.46,64,36.48,186,14798,0.241,0.14,105.02,98.88,mendung siram
332,28.42,67,39.01,191,15068,0.227,0.149,103.53,98.64,mendung siram
333,28.92,66,32.91,186,14037,0.23,0.186,104.87,97.08,mendung siram
334,28.37,69,35.42,194,14475,0.228,0.128,102.78,98.46,mendung siram
335,28.52,61,39.33,195,14220,0.243,0.168,107.46,106.19,mendung siram
336,29.42,69,32.97,190,15326,0.23,0.16,107.61,107.38,mendung siram
337,28.43,69,34.41,187,14786,0.231,0.202,103.27,106.05,mendung siram
338,28.11,64,34.78,185,16745,0.239,0.203,104.52,100.05,mendung siram
339,28.95,63,31.8,195,15182,0.231,0.185,107.63,98.27,mendung siram
340,29.03,61,33.58,195,16277,0.238,0.129,104.88,94.15,mendung siram
341,28.25,70,32.01,188,14016,0.228,0.183,106.92,106.11,mendung siram
342,28.22,61,38.86,192,15001,0.23,0.17,106.77,98.14,mendung siram
343,29.25,70,37.12,190,14410,0.226,0.196,103.57,101.23,mendung siram
344,29.21,65,38.98,192,15033,0.241,0.178,104.86,103.45,mendung siram
345,28.76,63,39.27,186,16152,0.235,0.129,104.42,103.98,mendung siram
346,28.1,68,34.72,191,14628,0.242,0.188,105.77,106.29,mendung siram
347,28.94,60,35.56,191,15753,0.234,0.149,106.11,100.29,mendung siram
348,29.09,64,36.91,187,16297,0.236,0.134,104.45,98.38,mendung siram
349,28.06,69,36.49,194,15405,0.226,0.185,106.95,99.89,mendung siram
350,28.29,62,35.83,186,16218,0.225,0.127,105.27,103.28,mendung siram
351,29.07,61,37.32,194,15579,0.228,0.158,105.6,96.88,mendung siram
352,29.16,67,36.2,193,16329,0.238,0.173,104.41,102.36,mendung siram
353,28.99,65,35.8,186,15655,0.239,0.185,105.9,95.29,mendung siram
354,28.01,61,31.91,193,16281,0.236,0.209,103.46,94.94,mendung siram
